wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-8.wav|What do you want to know?
wavs/alternative-0-Kim Kitsuragi-COAST ORB  reeds by camp site-55-0.wav|Okay. But after that we get back to our own assignments. There is no justification for this detour at this point of our investigation. We have a lot of work to do back in town.
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-56.wav|Good, good. We should be courteous and tell the cryptozoologists that one of their traps was empty, but then we can get back to our assignment here.
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-60.wav|Perhaps our cryptozoologists have competition in the form of an actual entomologist? Or someone else is sabotaging them? I could present more theories, but then I would be taking this on as a case, which I'm not.
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-61.wav|Another empty trap,
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-62.wav|Don't answer that. It was a rhetorical question.
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-67.wav|Yup. The next one has a crab trapped in it.. These are just crab traps, you do realize?
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-68.wav|Always up for a good jog, otherwise, would I still be on this case with you?
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-69.wav|Of course. Noted.
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-87.wav|Empty as all of them.... One more of these and we're done...
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-88.wav|Surely,. Anyway, the air is nice and fresh here...
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-96.wav|I'm just.... Glad we haven't found some poor cat trapped in one of these.
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-97.wav|Of course. Noted.
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-99.wav|No you weren't.
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-102.wav|Good. Now that's done. When do you think we will return to our impending apocalypse of a murder investigation?
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-127.wav|I meant no offence, just...
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-129.wav|Big surprise.. Anyway, one down, three to go.
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-162.wav|Yes. Like a cat, or another teenage psychopath.
wavs/Kim Kitsuragi-COAST ORB  reeds by camp site-163.wav|I'm beginning to feel... somewhat sorry for them.
wavs/Kim Kitsuragi-INVENTORY  DELUXE TOPPING PIE-21.wav|Please let's not go through this again.
wavs/Kim Kitsuragi-INVENTORY  DELUXE TOPPING PIE-28.wav|Don't take it personally.
wavs/Kim Kitsuragi-INVENTORY  DELUXE TOPPING PIE-29.wav|Food of my choice, on my own schedule.
wavs/Kim Kitsuragi-INVENTORY  DELUXE TOPPING PIE-39.wav|I just don't want any. Please, enjoy, and then let's move on.
wavs/Kim Kitsuragi-INVENTORY  DELUXE TOPPING PIE-40.wav|That's a ridiculous notion. We are not living in a highly ritualistic society where not sharing food with someone indicates animosity. We are in Revachol, where people ought to be free not to eat topping pie when they are not hungry.
wavs/Kim Kitsuragi-INVENTORY  DELUXE TOPPING PIE-45.wav|All done. Shall we?
wavs/Kim Kitsuragi-INVENTORY  DELUXE TOPPING PIE-47.wav|That wasn't terrible. Well, shall we?
wavs/Kim Kitsuragi-INVENTORY  DELUXE TOPPING PIE-49.wav|Haven't I already proven that we are comrades or whatever by splitting that sandwich with you?
wavs/Kim Kitsuragi-INVENTORY  DELUXE TOPPING PIE-60.wav|Why...?
wavs/alternative-0-Kim Kitsuragi-INVENTORY  DELUXE TOPPING PIE-60-0.wav|You know, you really should consider doing to liquor what you do to food.. And not doing what you do to food... to food.
wavs/Kim Kitsuragi-INVENTORY  DELUXE TOPPING PIE-61.wav|I thought it was the symbolism that was important, not the type of.... Please, just... enjoy the pie.
wavs/Kim Kitsuragi-INVENTORY  DELUXE TOPPING PIE-64.wav|That depends on one's perspective.. Please, just... enjoy the pie.
wavs/Kim Kitsuragi-WESTCOAST  MORELL CRYPTIDS-13.wav|A lavender shadow...
wavs/Kim Kitsuragi-WESTCOAST  MORELL CRYPTIDS-132.wav|Of course you do.
wavs/Kim Kitsuragi-WESTCOAST  MORELL CRYPTIDS-134.wav|A detective.. Pardon me, I did not wish to seek conflict. It's simply my training to question things.
wavs/Kim Kitsuragi-WESTCOAST  MORELL CRYPTIDS-202.wav|Which one?
wavs/Kim Kitsuragi-WESTCOAST  MORELL CRYPTIDS-204.wav|Mhm. The burning rhino is where they draw the line.
wavs/Kim Kitsuragi-KIM ORB  seolite conspiracy-9.wav|My... people? What are you talking about?
wavs/Kim Kitsuragi-KIM ORB  seolite conspiracy-13.wav|Now, let's move on. I find this subject tiresome.
wavs/Kim Kitsuragi-KIM ORB  seolite conspiracy-14.wav|I don't care what that delinquent said.
wavs/Kim Kitsuragi-KIM ORB  seolite conspiracy-16.wav|And no such recordings exist, to my knowledge. Seol has bigger squid to fry.
wavs/Kim Kitsuragi-KIM ORB  seolite conspiracy-17.wav|In case you've forgotten, men and women in our profession rarely make it to retirement, and certainly not if they do not trust their partners.
wavs/Kim Kitsuragi-KIM ORB  seolite conspiracy-21.wav|I respect you as a colleague, and so I will have this conversation with you, but only once.
wavs/Kim Kitsuragi-KIM ORB  seolite conspiracy-22.wav|There is no Seolite Conspiracy, and even if there were, I would not be a part of it.
wavs/Kim Kitsuragi-KIM ORB  seolite conspiracy-25.wav|I was born and raised Revacholian. So was my mother. As for my father, I didn't know him, I don't know who he was. And I don't care. From what I've heard, he wasn't a very pleasant person to be around.
wavs/alternative-0-Kim Kitsuragi-KIM ORB  seolite conspiracy-25-0.wav|As you've heard me say before, I was born and raised Revacholian. So was my mother. As for my father, I didn't know him, I don't know who he was. And I don't care. From what I've heard, he wasn't a very pleasant person to be around.
wavs/Kim Kitsuragi-KIM ORB  seolite conspiracy-28.wav|At least you were forthcoming with your doubt. Now, let's move on. I find this subject tiresome.
wavs/Kim Kitsuragi-KIM ORB  seolite conspiracy-29.wav|Nothing from surreptitious recordings collected by Seolite agents in an effort to compromise the Militia.
wavs/Kim Kitsuragi-KIM ORB  seolite conspiracy-31.wav|Yes. Now, let's move on. I find this subject tiresome.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-13.wav|Madam! Please drop the firearm immediately!
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-14.wav|We can't leave. A delirious civilian is pointing a firearm at us. Your firearm. You need to solve this.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-31.wav|Ma'am, please.... We want to help you, but you need to lower that weapon.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-40.wav|This is bad,. Getting your weapon back is the priority. We can't have an unhinged civilian running around with a gun.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-45.wav|You're making it worse, officer,
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-78.wav|Be careful, detective. Don't do anything that might set her off.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-120.wav|Oh. Is that yours?
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-124.wav|It's your hat.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-125.wav|You're taking those, are you?
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-130.wav|I guess I got my answer.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-131.wav|Right.. Okay.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-132.wav|Sure.. I guess that's fine.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-134.wav|Thank you.. I'm doing this to help you. We need to focus on the case.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-138.wav|You might not want to take those.. You seem to have a slight... problem...
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-151.wav|I don't think she's on drugs,. Being off drugs might actually be the problem here...
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-152.wav|See?. This is what happens, when we're not around.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-153.wav|Fascinating.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-170.wav|What's the situation.... ... officer?
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-176.wav|Easy.... Press her too hard and she'll...
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-177.wav|Wait, officer!. We're trying to de-escalate the situation! Adding more guns just makes it worse.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-187.wav|You're making it worse, officer,
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-221.wav|Now.... ... is not the time.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS-252.wav|Officer.... There is no way I'm leaving it like this.
wavs/Kim Kitsuragi-BOARDWALK  TRANT HEIDELSTAM INTRO-30.wav|Nice to meet you.
wavs/Kim Kitsuragi-BOARDWALK  TRANT HEIDELSTAM INTRO-168.wav|Actually, I think there is.... No, it's too much, he's joking.
wavs/Kim Kitsuragi-BOARDWALK  TRANT HEIDELSTAM INTRO-193.wav|A pleasure wheel?
wavs/Kim Kitsuragi-BOARDWALK  TRANT HEIDELSTAM INTRO-290.wav|So you haven't seen anyone around?
wavs/Kim Kitsuragi-BOARDWALK  TRANT HEIDELSTAM INTRO-381.wav|He's correct. It makes coordinating operations with the Coalition exceedingly difficult, from our perspective.
wavs/Kim Kitsuragi-BOARDWALK  TRANT HEIDELSTAM INTRO-398.wav|Hmmm, she's not a 'Feld engineer,' exactly, but perhaps that programmer from the church might be of assistance?
wavs/Kim Kitsuragi-BOARDWALK  TRANT HEIDELSTAM INTRO-399.wav|Hmmm, no one would mistake them for Feld engineers, but perhaps your young friends in the tent might be of assistance?
wavs/Kim Kitsuragi-BOARDWALK  TRANT HEIDELSTAM INTRO-400.wav|Oh, good: Now we're circuit-bending into radio towers. Just what this side task was missing...
wavs/Kim Kitsuragi-BOARDWALK  LADDER-6.wav|Yeah, that doesn't look good at all.
wavs/Kim Kitsuragi-BOARDWALK  LADDER-11.wav|Oh yes. It could hurt. A lot.
wavs/Kim Kitsuragi-BOARDWALK  LADDER-33.wav|Teleportation is not a thing.
wavs/Kim Kitsuragi-BOARDWALK  LADDER-36.wav|This really has nothing to do with... adventure. We're dealing with basic physics here.
wavs/Kim Kitsuragi-BOARDWALK  LADDER-38.wav|Okay, let's say teleportation is a thing. Wouldn't you need some kind of... scientific apparatus to create a teleportation field? You can't just do it without apparatus.
wavs/Kim Kitsuragi-BOARDWALK  LADDER-46.wav|I just saw you climb the ladder,. You just climbed it, like a regular person.
wavs/Kim Kitsuragi-BOARDWALK  LADDER-48.wav|Never mind... find a way to let me in when you get inside! Don't go adventuring without backup, especially if we think the suspect may be hiding here.
wavs/Kim Kitsuragi-BOARDWALK  LADDER-64.wav|You're not? Please don't try to climb the building, we'll get in another way.
wavs/Kim Kitsuragi-BOARDWALK  LADDER-67.wav|Teleportation apparatus? I don't remember mentioning anything about teleportation apparatus. Please don't try to climb the building, we'll get in another way.
wavs/Kim Kitsuragi-BOARDWALK  LADDER-77.wav|That's not how physics work, detective. And even if it were, wouldn't you need some kind of apparatus? A teleportation field or...
wavs/Kim Kitsuragi-BOARDWALK  LADDER-104.wav|Enough of that now, officer.... There has got to be a better, more age-appropriate way in.
wavs/Kim Kitsuragi-BOARDWALK  LADDER-105.wav|You know, for the record, you didn't teleport there. You just climbed the ladder with your eyes closed...
wavs/Kim Kitsuragi-BOARDWALK ORB  smell of death-12.wav|Eyes up, detective. Something's not right here.
wavs/Kim Kitsuragi-BOARDWALK  RAILING-10.wav|Please tell me you're not taking that with you.
wavs/Kim Kitsuragi-BOARDWALK  RAILING-12.wav|It's a guano-encrusted jacket. And you're already carrying around enough as it is.
wavs/Kim Kitsuragi-BOARDWALK  RAILING-15.wav|I'm sure he'll be thrilled to have it returned.
wavs/Kim Kitsuragi-BOARDWALK  RAILING-16.wav|A clue? You think our suspect is a seagull who's been defecating on unsuspecting jackets?
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-98.wav|You're right,. Let's call her out on this.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-99.wav|I've been thinking that too. But it's impossible to tell for certain in these lighting conditions.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-103.wav|Huh?. My god, I think you're right.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-143.wav|God.... I almost blew her head off...
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-144.wav|Phew.... For a moment there...
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-145.wav|Situation is under control!. You're not shot, she's not a threat, everybody stay calm!
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-179.wav|Poor woman.... We need to figure out what to do with her now.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-190.wav|I don't think she actually.... You're right of course. This could've been very bad.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-193.wav|She's in a stupor,. I've seen this before. God knows for how long... Could be days when they get like this.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-196.wav|Honestly, I don't know. Dementia, probably,. Dementia and Channel 8. And loneliness.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-201.wav|Probably not,. But more pressing is the question of what to do with her right now?
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-203.wav|Looks like a bad case.. But the question is what to do with her right now.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-204.wav|There's a bit more to this than that,. But right now we need to decide what to do with her.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-205.wav|Could be,. Her hands were trembling and she did seem uncoordinated... But what are we gonna do with her?
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-221.wav|I don't think there's any need for that. In her current state, and without the gun, she isn't really a threat to anyone.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-226.wav|We could let Titus know. This is a perfect problem for the local 'peacekeepers' to handle. They might even know her family.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-227.wav|I guess I'll just notify my station. They'll contact the Sanitarium and handle the logistics.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-231.wav|That would just be a waste of paper. I mean look at her.. She's not going to respond to a station slip.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-233.wav|No,. That is not an option. We'll either unload this to Titus and his guys or I'll ask for help from my station.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-234.wav|Okay,. That settles it. I'll contact my station after we wrap it up for the day. They can contact the Sanitarium and handle the logistics.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-235.wav|Then we can ask him once we get back to the Whirling. But we have to hurry, cause it's late and they might have already gone home.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-239.wav|Oh, before we go.... I believe this belongs to you.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-242.wav|Okay but.... ... probably couldn't change your mind anyway... Let's go then.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-243.wav|Of course. Understandably things got a bit hectic before. Don't worry about it.. Reunited at last. Let's go now.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-244.wav|But I think we're done here for now. Let's head out, this is done.
wavs/Kim Kitsuragi-BOARDWALK  THE PIGS RED CHECK-312.wav|I've had... disturbances similar to this before. Many calls, but... never this bad.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-15.wav|Looks like tomorrow never came.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-21.wav|Anyway, we do it the old fashioned way: sector by sector. Go over the whole peninsula, ask the locals, enter the places where we can enter first. Like we did in the village.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-27.wav|How do we? I was really hoping she'd be in the village.... Okay.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-28.wav|She's probably north of the village and this place is a peninsula. I think there's people west of here, we could ask them...
wavs/alternative-0-Kim Kitsuragi-BOARDWALK  FELD MURAL-28-0.wav|She's probably north of the village and this place is a peninsula. We've already talked to the cryptozoologists.... Working with them might give us a good excuse to run around, give us some structure...
wavs/alternative-1-Kim Kitsuragi-BOARDWALK  FELD MURAL-28-1.wav|She's probably north of the village and this place is a peninsula.. We already scanned most of the outdoor areas on our wild cryptid hunt, so we have an understanding of the geography, at least.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-29.wav|Because I hope you didn't mean to climb that ladder.... It's not safe.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-31.wav|Then, if we're desperate, we can look where we can't enter. Bunkers, storm drainage, this place. I'm sure it won't come to that.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-40.wav|Ask the wind sounds like an expression. For when you have no idea. We should continue our search. Perhaps even get a little desperate...
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-42.wav|Perhaps you can climb them. We're not climbing anything. I'm 43 years old, and I plan to live to see 70.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-45.wav|So how do we get in there? The doors were on the collapsed side of this building... they're gone, basically.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-48.wav|Right,. How do we get in there? The doors were on the collapsed side of this building... they're gone, basically.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-49.wav|And then there's the church.. If I were a murder suspect I would not hide in the most prominent building here, but who knows? Maybe she's reckless...
wavs/alternative-0-Kim Kitsuragi-BOARDWALK  FELD MURAL-49-0.wav|And then there's the church.. We've already searched that and can rule it out. I know it doesn't feel like progress, but exclusion is a step too.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-62.wav|We should go. It gets cold if you stand in one place too long.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-65.wav|What? I didn't say anything.. What are we doing here? We keep returning and you act strange.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-68.wav|Of course. Black magic. The most potent type of magic. If we're that desperate, may I suggest getting shovels and digging?
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-75.wav|Like, maybe we can get shovels and dig?. Don't mind that, a bad attempt at humour.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-81.wav|Good, good, yes. Cold spells.... So basically your hangover is telling you she's down there?
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-93.wav|In there? She could. Or.... She could be in the identical ruin over there, or in that boat shack. In that church tower, maybe...
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-102.wav|Maybe we could, you know.... Ask the man who's pointing at the building?
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-110.wav|Right. How do we get in, though? The doors were on the collapsed side of this building... they're gone, basically.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-119.wav|Some sort of industrial ruin? I don't recognize the name of the company. RandD used to mean Research and Development... It looks long-abandoned.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-168.wav|In case she's underground? Don't mind that, a bad attempt at humour.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-169.wav|Ask Revachol sounds like an expression. For when you have no idea. We should continue our search. Perhaps even get a little desperate...
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-170.wav|Of course. We should continue our search.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-231.wav|Officer?. Are you okay? It looked like we lost you for a second.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-237.wav|Doesn't look like it to me.. Probably not, anyway.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-238.wav|When you're ready.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-239.wav|Right. Well, I'm sure that after...
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-241.wav|Okay.... When you're ready, officer.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-277.wav|Let's move on. I don't think we need to stand around anymore.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-303.wav|I see. Political theory as detective work. Right.. After you, officer.
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-308.wav|You mean we should do that right now, don't you?. Can that be done after the murder investigation?
wavs/Kim Kitsuragi-BOARDWALK  FELD MURAL-310.wav|True...  But how do we even get in there? The doors were on the collapsed side of this building... they're gone, basically.
wavs/alternative-0-Kim Kitsuragi-BOARDWALK  FELD MURAL-310-0.wav|True. And Ruby does have radio experience, as evidenced by her lorry... But how do we even get in there? The doors were on the collapsed side of this building... they're gone, basically.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-18.wav|I'm Kim Kitsuragi.. I'm a detective from Precinct 57. I believe you have already met my colleague from Precinct 41.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-22.wav|I'm Kim Kitsuragi.. I'm a detective from Precinct 57. I see you've already met my colleague.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-119.wav|I assure you, he is not about to tear it up in any style. In fact...
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-126.wav|It would, wouldn't it? It would be strange. You see...
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-129.wav|That is not actually what a police siren sounds like.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-164.wav|Miss, I don't know what he's told you, but there are no superstars among police officers.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-169.wav|Yes, I understood that, officer.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-183.wav|I can assure you, there really, really are not.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-189.wav|I am sure it has. In the time we've spent together, I must have covered 30 kilometres. He has a track and field approach to police work.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-293.wav|What's so bad about that?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-376.wav|I don't think I've ever heard anything less relevant to any investigation.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-407.wav|Thank you for your candour, why?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-426.wav|Why else?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-462.wav|My colleague has an exploratory sense of humour. Don't hold it against him.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-534.wav|How long have you been staying here?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-692.wav|Yes. Looking into your bedroom, miss.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-710.wav|Unfortunately, no, but if I were to guess, long enough. The perforation is under the book shelf on your wall. It should not be hard to cover with some tape.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-788.wav|Miss, we are investigating the murder of the man who was hanged.. The people responsible have asked us to talk to you.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-789.wav|Miss, we are investigating the murder of the man down there.. The people who put him there have asked us to talk to you.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-808.wav|Did you take the documents?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-852.wav|We have questions that might help solve some gaps in our field autopsy. I'm sure my colleague has a few of his own while I take notes.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-856.wav|Yes, miss. I hope you don't mind.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-867.wav|We found that crash pad on the coast, miss, and even spoke to the land lady. She seemed... rather devoted to the suspect...
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-869.wav|...At any rate, the suspect isn't there anymore.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-871.wav|She's in dire straits. Could she have hidden in a place to which she has some kind of emotional attachment?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-890.wav|Thank you, miss.. We should do a thorough search of the fishing village.
wavs/alternative-0-Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-890-0.wav|Thank you, miss.. We should do a more thorough search of the fishing village.
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-949.wav|Is that something that happens to you often, miss?
wavs/Kim Kitsuragi-WHIRLING F3  KLAASJE MAIN-951.wav|This does not amount to actual corruption. I can easily log it under a confiscation.
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-13.wav|Anything of note?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-23.wav|An opioid receptor antagonist. It's used for diamorphine overdoses.
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-27.wav|Interesting. That's used for diamorphine overdoses...
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-37.wav|Preptide, a euphemism for pharmaceutical amphetamine. Prescription speed.
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-95.wav|Mhm,. She certainly had her priorities straight when she was packing.
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-100.wav|Of course you were.. How does that work anyway?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-104.wav|Amphetamine, does it make you a better detective?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-110.wav|I always took you for more of a drunk than a chemical abuser,. Anyway.
wavs/alternative-0-Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-110-0.wav|I always took you for more of a drunk than a chemical abuser, lieutenant-yefreitor,. Should we go?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-112.wav|It may be, but I asked if it makes you better at your work?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-115.wav|I was just curious. Anyway let's go.
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-119.wav|Hmh.. That's what I thought. Let's go?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-120.wav|Maybe I should?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-123.wav|Hmh.. Thought so. Let's go?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-125.wav|Hmh.. Thought so. Let's go?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-126.wav|Doesn't the... pupils and the gurning jaw, the sweating... doesn't it become tiring after a while?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-130.wav|Yes, but... did you know you don't have radiation sickness?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-133.wav|Right. I'll give it some thought.. Should we go?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-134.wav|Right. Thank you for this information.. Should we go?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-137.wav|I thought so.. Should we go?
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-138.wav|Right.. I can see how that can be useful.
wavs/Kim Kitsuragi-WHIRLING F2  MEDICINE CABINET-139.wav|There's always a price...
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-13.wav|Looks like it, yes.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-56.wav|It is.. We're beating our heads against this, let's go do something more useful.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-57.wav|I'm not exactly sure either, to be honest. My imagination has a way of failing me.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-58.wav|It's a weakness,
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-62.wav|No. On the contrary, this whole room could be very useful if we could read it.. Maybe later.
wavs/Kim Kitsuragi-WHIRLING F3  CLEAR WINDOW VISCAL DIFFICULT-108.wav|The bookstore. They have maps.. You're thinking what if the shot didn't come from the roof, right?
